timestamp,latitude,longitude,altitude_km,speed_kmph,Hemisphere,region
2025-06-07T00:00:00Z,-10.4590596379096,133.051468407229,368.18,27687.89,Southern,Pacific Ocean
2025-06-07T00:00:10Z,-9.94882724676323,133.427909388676,368.06,27688.23,Southern,Pacific Ocean
2025-06-07T00:00:20Z,-9.43804551546582,133.803067736859,367.94,27688.57,Southern,Pacific Ocean
2025-06-07T00:00:30Z,-8.92674404418488,134.177013317771,367.83,27688.9,Southern,Pacific Ocean
2025-06-07T00:00:40Z,-8.41495215799414,134.549815480367,367.72,27689.23,Southern,Pacific Ocean
2025-06-07T00:00:50Z,-7.9026989269247,134.921543082411,367.61,27689.55,Southern,Pacific Ocean
2025-06-07T00:01:00Z,-7.39001318284921,135.292264518729,367.5,27689.87,Southern,Pacific Ocean
2025-06-07T00:01:10Z,-6.87692353155814,135.662047753149,367.4,27690.18,Southern,Pacific Ocean
2025-06-07T00:01:20Z,-6.36345837214987,136.030960344335,367.3,27690.49,Southern,Pacific Ocean
2025-06-07T00:01:30Z,-5.84964591132021,136.399069475555,367.21,27690.79,Southern,Pacific Ocean
2025-06-07T00:01:40Z,-5.33551417779159,136.76644198418,367.12,27691.09,Southern,Pacific Ocean
2025-06-07T00:01:50Z,-1.21428356728711,139.686832311341,366.49,27693.25,Southern,Pacific Ocean
2025-06-07T00:02:00Z,-0.698517939653389,140.050539830006,366.43,27693.5,Southern,Pacific Ocean
2025-06-07T00:02:10Z,-0.182706887944216,140.414166317099,366.37,27693.74,Southern,Pacific Ocean
2025-06-07T00:02:20Z,-0.433130235518025,-120.86601705965,372.57,27668.22,Southern,Pacific Ocean
2025-06-07T00:02:30Z,-0.947975823857274,-120.503102400035,372.63,27667.99,Southern,Pacific Ocean
2025-06-07T00:02:40Z,-1.46276325815723,-120.140075601356,372.7,27667.74,Southern,Pacific Ocean
2025-06-07T00:02:50Z,-1.97746572123431,-119.776871955651,372.76,27667.5,Southern,Pacific Ocean
2025-06-07T00:03:00Z,-2.49205635960225,-119.413426679922,372.83,27667.25,Southern,Pacific Ocean
2025-06-07T00:03:10Z,-3.00650826913755,-119.04967488779,372.9,27667,Southern,Pacific Ocean
2025-06-07T00:03:20Z,-3.52079448102695,-118.685551560875,372.97,27666.75,Southern,Pacific Ocean
2025-06-07T00:03:30Z,-4.03488794601008,-118.320991521471,373.05,27666.5,Southern,Pacific Ocean
2025-06-07T00:03:40Z,-4.54876152018614,-117.955929403888,373.13,27666.24,Southern,Pacific Ocean
2025-06-07T00:03:50Z,-5.06238795072794,-117.590299625771,373.21,27665.98,Southern,Pacific Ocean
2025-06-07T00:04:00Z,-5.57573986182323,-117.224036359157,373.29,27665.72,Southern,Pacific Ocean
2025-06-07T00:04:10Z,-6.08878973950755,-116.857073502224,373.38,27665.46,Southern,Pacific Ocean
2025-06-07T00:04:20Z,-6.60150991473257,-116.489344652392,373.46,27665.19,Southern,Pacific Ocean
2025-06-07T00:04:30Z,-7.11387255120182,-116.120783075406,373.55,27664.93,Southern,Pacific Ocean
2025-06-07T00:04:40Z,-7.62584962845923,-115.751321678094,373.64,27664.66,Southern,Pacific Ocean
2025-06-07T00:04:50Z,-8.13741292611622,-115.380892980018,373.74,27664.39,Southern,Pacific Ocean
2025-06-07T00:05:00Z,-8.64853401083093,-115.009429082752,373.83,27664.11,Southern,Pacific Ocean
2025-06-07T00:05:10Z,-9.15918421655459,-114.636861644376,373.93,27663.84,Southern,Pacific Ocean
2025-06-07T00:05:20Z,-9.66933463141728,-114.263121848444,374.03,27663.56,Southern,Pacific Ocean
2025-06-07T00:05:30Z,-10.1789560791709,-113.88814037714,374.14,27663.28,Southern,Pacific Ocean
2025-06-07T00:05:40Z,-10.6880191059183,-113.511847379937,374.24,27663,Southern,Pacific Ocean
2025-06-07T00:05:50Z,-11.1964939604043,-113.134172447274,374.35,27662.72,Southern,Pacific Ocean
2025-06-07T00:06:00Z,-11.7043505769708,-112.755044581929,374.46,27662.44,Southern,Pacific Ocean
2025-06-07T00:06:10Z,-12.2115585617857,-112.374392167364,374.57,27662.16,Southern,Pacific Ocean
2025-06-07T00:06:20Z,-12.7180871687288,-111.992142944539,374.68,27661.87,Southern,Pacific Ocean
2025-06-07T00:06:30Z,-13.2239052898608,-111.608223976331,374.8,27661.58,Southern,Pacific Ocean
2025-06-07T00:06:40Z,-13.7289814297076,-111.222561625286,374.91,27661.3,Southern,Pacific Ocean
2025-06-07T00:06:50Z,-14.2332836889182,-110.83508152339,375.03,27661.01,Southern,Pacific Ocean
2025-06-07T00:07:00Z,-14.7367797485156,-110.445708541087,375.15,27660.72,Southern,Pacific Ocean
2025-06-07T00:07:10Z,-15.2394368466935,-110.054366762491,375.27,27660.42,Southern,Pacific Ocean
2025-06-07T00:07:20Z,-15.7412217594317,-109.66097945725,375.39,27660.13,Southern,Pacific Ocean
2025-06-07T00:07:30Z,-16.2421007839116,-109.265469049841,375.52,27659.84,Southern,Pacific Ocean
2025-06-07T00:07:40Z,-16.7420397128769,-108.867757096655,375.65,27659.55,Southern,Pacific Ocean
2025-06-07T00:07:50Z,-17.2410038159516,-108.467764256983,375.77,27659.25,Southern,Pacific Ocean
2025-06-07T00:08:00Z,-17.7389578220931,-108.065410262948,375.9,27658.96,Southern,Pacific Ocean
2025-06-07T00:08:10Z,-18.2358658914121,-107.660613898826,376.03,27658.66,Southern,Pacific Ocean
2025-06-07T00:08:20Z,-18.7316915957898,-107.253292972755,376.17,27658.37,Southern,Pacific Ocean
